X,Y,Z,Xr,Yr,Zr,DateTime,ID
-711,-110,329,15152,4916,-4096,2019-11-02 16:51:46.207584,jimmy
-756,-104,296,15380,4844,-4044,2019-11-02 16:51:46.234205,jimmy
-750,-131,228,15128,4732,-3916,2019-11-02 16:51:46.261435,jimmy
-726,-123,295,15316,4888,-4056,2019-11-02 16:51:46.288232,jimmy
-738,-61,345,15500,4884,-4068,2019-11-02 16:51:46.314068,jimmy
-739,-75,309,15288,4864,-4008,2019-11-02 16:51:46.338927,jimmy
-1023,-105,285,15284,4932,-4016,2019-11-02 16:51:46.364128,jimmy
-747,-148,265,15204,4736,-3904,2019-11-02 16:51:46.389528,jimmy
-677,-124,303,15184,4780,-3924,2019-11-02 16:51:46.418767,jimmy
-726,-99,301,15256,4764,-4008,2019-11-02 16:51:46.450297,jimmy
-713,-96,317,15444,4848,-4028,2019-11-02 16:51:46.477899,jimmy
-706,-132,301,15424,4960,-4016,2019-11-02 16:51:46.507282,jimmy
-739,-118,315,15356,4860,-3876,2019-11-02 16:51:46.533693,jimmy
-721,-140,276,15444,5080,-4264,2019-11-02 16:51:46.558929,jimmy
-749,-153,266,15376,4896,-4028,2019-11-02 16:51:46.584383,jimmy
-741,-125,253,15168,4808,-4004,2019-11-02 16:51:46.610650,jimmy
-768,-128,258,15244,4756,-4072,2019-11-02 16:51:46.643449,jimmy
-749,-149,282,15324,4804,-4152,2019-11-02 16:51:46.669886,jimmy
-749,-132,264,15152,4648,-4040,2019-11-02 16:51:46.696334,jimmy
-734,-113,327,15312,4808,-3976,2019-11-02 16:51:46.724340,jimmy
-727,-106,318,15416,4820,-4064,2019-11-02 16:51:46.750804,jimmy
-741,-91,260,15192,4948,-4028,2019-11-02 16:51:46.775784,jimmy
-726,-127,292,15332,4764,-4048,2019-11-02 16:51:46.800311,jimmy
-734,-107,287,15248,4660,-4080,2019-11-02 16:51:46.827628,jimmy
-709,-104,323,15152,4752,-3892,2019-11-02 16:51:46.854229,jimmy
-712,-104,354,15288,4816,-3940,2019-11-02 16:51:46.880527,jimmy
-731,-127,312,15304,4892,-4152,2019-11-02 16:51:46.907085,jimmy
-740,-132,279,15344,4828,-4028,2019-11-02 16:51:46.933973,jimmy
-759,-142,270,15532,4936,-3976,2019-11-02 16:51:46.959713,jimmy
-719,-130,301,15208,4820,-4052,2019-11-02 16:51:46.987986,jimmy
-517,-125,252,15284,4860,-4240,2019-11-02 16:51:47.020115,jimmy
-752,-112,298,15372,4796,-4084,2019-11-02 16:51:47.050256,jimmy
-753,-117,276,15464,4660,-4108,2019-11-02 16:51:47.077668,jimmy
-759,-109,292,15260,4808,-4008,2019-11-02 16:51:47.104553,jimmy
-733,-102,315,15240,4768,-4048,2019-11-02 16:51:47.132093,jimmy
